alpha 1 n_clients 50 nat 15 at none at_agr krum agr average
resume 0 save 1
none-krum: average n_at 15 epoch 0 test loss 3.0493 test acc 38.2800
none-krum: average n_at 15 epoch 10 test loss 1.0553 test acc 61.3200
none-krum: average n_at 15 epoch 20 test loss 0.7019 test acc 74.4400
none-krum: average n_at 15 epoch 30 test loss 0.5811 test acc 78.6000
none-krum: average n_at 15 epoch 40 test loss 0.5175 test acc 81.3400
none-krum: average n_at 15 epoch 50 test loss 0.4660 test acc 83.2200
none-krum: average n_at 15 epoch 60 test loss 0.4284 test acc 85.0600
none-krum: average n_at 15 epoch 70 test loss 0.4050 test acc 85.4600
none-krum: average n_at 15 epoch 80 test loss 0.3851 test acc 86.2400
none-krum: average n_at 15 epoch 90 test loss 0.3682 test acc 87.1400
none-krum: average n_at 15 epoch 100 test loss 0.3539 test acc 87.8400
none-krum: average n_at 15 epoch 110 test loss 0.3459 test acc 87.7600
none-krum: average n_at 15 epoch 120 test loss 0.3470 test acc 88.0400
none-krum: average n_at 15 epoch 130 test loss 0.3315 test acc 88.6400
none-krum: average n_at 15 epoch 140 test loss 0.3477 test acc 88.1200
none-krum: average n_at 15 epoch 150 test loss 0.3261 test acc 88.5800
none-krum: average n_at 15 epoch 160 test loss 0.3201 test acc 89.2800
none-krum: average n_at 15 epoch 170 test loss 0.3161 test acc 89.1600
none-krum: average n_at 15 epoch 180 test loss 0.3144 test acc 89.1600
none-krum: average n_at 15 epoch 190 test loss 0.3081 test acc 89.6200
none-krum: average n_at 15 epoch 200 test loss 0.3124 test acc 89.3000
none-krum: average n_at 15 epoch 210 test loss 0.3110 test acc 89.5200
none-krum: average n_at 15 epoch 220 test loss 0.2970 test acc 89.7400
none-krum: average n_at 15 epoch 230 test loss 0.2963 test acc 89.9200
none-krum: average n_at 15 epoch 240 test loss 0.3036 test acc 90.0000
none-krum: average n_at 15 epoch 250 test loss 0.3015 test acc 89.9800
none-krum: average n_at 15 epoch 260 test loss 0.3217 test acc 88.9000
none-krum: average n_at 15 epoch 270 test loss 0.2962 test acc 89.4800
none-krum: average n_at 15 epoch 280 test loss 0.2937 test acc 90.2200
none-krum: average n_at 15 epoch 290 test loss 0.2846 test acc 90.5400
none-krum: average n_at 15 epoch 300 test loss 0.3037 test acc 89.7600
none-krum: average n_at 15 epoch 310 test loss 0.3178 test acc 89.0400
none-krum: average n_at 15 epoch 320 test loss 0.3106 test acc 89.4800
none-krum: average n_at 15 epoch 330 test loss 0.3028 test acc 90.3200
none-krum: average n_at 15 epoch 340 test loss 0.2857 test acc 90.1600
none-krum: average n_at 15 epoch 350 test loss 0.2897 test acc 90.1000
none-krum: average n_at 15 epoch 360 test loss 0.2897 test acc 90.4400
none-krum: average n_at 15 epoch 370 test loss 0.2955 test acc 89.6800
none-krum: average n_at 15 epoch 380 test loss 0.2843 test acc 90.3000
none-krum: average n_at 15 epoch 390 test loss 0.2890 test acc 90.2600
none-krum: average n_at 15 epoch 400 test loss 0.2880 test acc 90.4000
none-krum: average n_at 15 epoch 410 test loss 0.3408 test acc 89.2200
none-krum: average n_at 15 epoch 420 test loss 0.2914 test acc 90.1200
none-krum: average n_at 15 epoch 430 test loss 0.2839 test acc 90.6600
none-krum: average n_at 15 epoch 440 test loss 0.2848 test acc 90.2600
none-krum: average n_at 15 epoch 450 test loss 0.2947 test acc 90.0200
none-krum: average n_at 15 epoch 460 test loss 0.2871 test acc 90.5600
none-krum: average n_at 15 epoch 470 test loss 0.2835 test acc 90.6400
none-krum: average n_at 15 epoch 480 test loss 0.3134 test acc 90.0200
none-krum: average n_at 15 epoch 490 test loss 0.3079 test acc 89.9200
none-krum: average n_at 15 epoch 499 test loss 0.2849 test acc 90.7000
none-krum: average n_at 15 epoch 500 test loss 0.3154 test acc 89.7000
